title,company,location,stipend,url,date_posted
Software Engineer Intern,ExampleTech,Bengaluru,20000,https://example.com/1,2025-06-01
Backend Intern,Startify,Hyderabad,15000,https://example.com/2,2025-05-21
Frontend Intern,WebWorks,Delhi,12000,https://example.com/3,2025-06-10
Product Analyst Intern,ProdLabs,Mumbai,18000,https://example.com/5,2025-03-30
QA Intern,TestMore,Pune,10000,https://example.com/6,2025-05-05
Data Science Intern,DataPros,Bangalore,25000,https://example.com/4,2025-04-15
Mobile Developer Intern,AppMakers,Chennai,22000,https://example.com/7,2025-06-12
Marketing Intern,MarketGurus,Kolkata,8000,https://example.com/8,2025-05-18
DevOps Intern,CloudNet,Noida,20000,https://example.com/9,2025-04-25
UI/UX Intern,DesignHub,Ahmedabad,15000,https://example.com/10,2025-06-05 
Artificial Intelligence Intern,AITech,Gurgaon,30000,https://example.com/11,2025-05-30   
Data Engineer Intern,DataStream,Bhubaneswar,27000,https://example.com/12,2025-06-15
